Model,Input_data,train_pearsonr,valid_pearsonr,hparams,bic,aic
L1 ExactQuadratic,promoters,nan,nan,-5.0,1892294.495989238,1892294.495989238
L1 ExactQuadratic,promoters,nan,nan,-4.0,1892294.495989238,1892294.495989238
L1 ExactQuadratic,promoters,nan,nan,-3.0,1892294.495989238,1892294.495989238
L1 ExactQuadratic,promoters,nan,nan,-2.0,1892294.495989238,1892294.495989238
L1 ExactQuadratic,promoters,0.4762347574846601,0.4793757889178562,0.0,3339438.478725382,2022158.645043495
L1 ExactQuadratic,promoters,0.4762347575273468,0.4793757889651072,0.5,3339438.4787754016,2022158.6450935146
L1 ExactQuadratic,promoters,0.48116931377433414,0.4845791894638793,0.9999999999999999,3338169.3691335865,2020889.5354516995
L1 ExactQuadratic,promoters,0.4762347574689575,0.4793757889004743,-0.5,3339438.47870698,2022158.6450250933
L1 ExactQuadratic,promoters,0.48116931297882076,0.4845791886390253,1.5,1791960.2176945263,1791932.3754278785
L1 ExactQuadratic,promoters,0.4762347588159348,0.47937579039147593,2.0,1793229.0474032701,1793201.4443991764
L1 ExactQuadratic,promoters,0.48116931422882275,0.48457918993512894,-0.9999999999999998,1791960.2167643427,1791932.3744954995
